Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/test/test.c,3767,1377,63.45%,70,1,98.57%,5427,1059,80.49%,1770,829,53.16%
common/inc/internal/se_cdefs.h,1,0,100.00%,1,0,100.00%,4,0,100.00%,0,0,-
common/inc/internal/se_memcpy.h,4,4,0.00%,1,1,0.00%,6,6,0.00%,2,2,0.00%
common/inc/sgx_random_buffers.h,3,3,0.00%,3,3,0.00%,20,20,0.00%,0,0,-
sdk/simulation/tinst/deriv.cpp,14,14,0.00%,3,3,0.00%,22,22,0.00%,12,12,0.00%
sdk/simulation/tinst/t_instructions.cpp,226,226,0.00%,5,5,0.00%,170,170,0.00%,114,114,0.00%
sdk/tlibcrypto/ipp/init_tcrypto_lib.cpp,1,1,0.00%,1,1,0.00%,4,4,0.00%,0,0,-
sdk/tlibcrypto/ipp/ipp_disp/ippcpsgx_disp00090.c,12,12,0.00%,1,1,0.00%,11,11,0.00%,4,4,0.00%
sdk/tlibcrypto/ipp/ipp_disp/ippcpsgx_disp00091.c,12,12,0.00%,1,1,0.00%,11,11,0.00%,4,4,0.00%
sdk/tlibcrypto/ipp/ipp_disp/ippcpsgx_disp00092.c,12,12,0.00%,1,1,0.00%,11,11,0.00%,4,4,0.00%
sdk/tlibcrypto/ipp/ipp_disp/ippcpsgx_disp00093.c,12,12,0.00%,1,1,0.00%,11,11,0.00%,4,4,0.00%
sdk/tlibcrypto/ipp/sgx_cmac128.cpp,140,140,0.00%,6,6,0.00%,145,145,0.00%,84,84,0.00%
sdk/tlibcrypto/sgx_common_init_ipp.cpp,138,138,0.00%,1,1,0.00%,113,113,0.00%,50,50,0.00%
sdk/trts/init_enclave.cpp,91,91,0.00%,2,2,0.00%,124,124,0.00%,52,52,0.00%
sdk/trts/init_optimized_lib.cpp,121,121,0.00%,2,2,0.00%,54,54,0.00%,40,40,0.00%
sdk/trts/linux/elf_parser.c,383,383,0.00%,10,10,0.00%,304,304,0.00%,182,182,0.00%
sdk/trts/linux/global_init.c,52,52,0.00%,7,7,0.00%,88,88,0.00%,28,28,0.00%
sdk/trts/linux/tls_support.c,1,1,0.00%,1,1,0.00%,4,4,0.00%,0,0,-
sdk/trts/trts.cpp,91,61,32.97%,9,5,44.44%,138,91,34.06%,48,36,25.00%
sdk/trts/trts_add_trim.cpp,5,5,0.00%,5,5,0.00%,30,30,0.00%,0,0,-
sdk/trts/trts_ecall.cpp,217,217,0.00%,20,20,0.00%,318,318,0.00%,110,110,0.00%
sdk/trts/trts_emodpr.cpp,1,1,0.00%,1,1,0.00%,8,8,0.00%,0,0,-
sdk/trts/trts_nsp.cpp,64,64,0.00%,2,2,0.00%,67,67,0.00%,38,38,0.00%
sdk/trts/trts_ocall.cpp,37,37,0.00%,3,3,0.00%,49,49,0.00%,22,22,0.00%
sdk/trts/trts_util.cpp,76,76,0.00%,15,15,0.00%,110,110,0.00%,42,42,0.00%
sdk/trts/trts_veh.cpp,197,197,0.00%,5,5,0.00%,273,273,0.00%,90,90,0.00%
sdk/trts/trts_xsave.cpp,5,5,0.00%,1,1,0.00%,8,8,0.00%,2,2,0.00%

Files,which,contain,no,functions:
SGXSan/install/include/sgx_lfence.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl-examples/SGX_Linux/trusted/Wolfssl_Enclave_t.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfcrypt/src/asm.c,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/internal.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/ssl.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/version.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/wolfcrypt/asn.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/wolfcrypt/ecc.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/wolfcrypt/hash.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/wolfcrypt/hmac.h,0,0,-,0,0,-,0,0,-,0,0,-
SGX_APP/wolfssl-all/wolfssl/wolfssl/wolfcrypt/md5.h,0,0,-,0,0,-,0,0,-,0,0,-
