Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
SGX_APP/TaLoS/src/libressl-2.4.1/ssl/t1_srvr.i                                                      16                13    18.75%           7                 4    42.86%          28                18    35.71%           6                 6     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_cfb.i                                                3                 3     0.00%           3                 3     0.00%          12                12     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_ctr.i                                                1                 1     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_ecb.i                                                4                 4     0.00%           1                 1     0.00%           6                 6     0.00%           2                 2     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_ige.i                                               53                53     0.00%           1                 1     0.00%         102               102     0.00%          36                36     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_misc.i                                               1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_ofb.i                                                1                 1     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/aes/aes_wrap.i                                              36                36     0.00%           2                 2     0.00%          62                62     0.00%          26                26     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_bitstr.i                                            118               118     0.00%           6                 6     0.00%         144               144     0.00%          84                84     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_bool.i                                               17                17     0.00%           2                 2     0.00%          41                41     0.00%          10                10     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_bytes.i                                             120               120     0.00%           4                 4     0.00%         192               192     0.00%          80                80     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_d2i_fp.i                                            104               104     0.00%           5                 5     0.00%         169               169     0.00%          70                70     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_digest.i                                              7                 2    71.43%           1                 0   100.00%          11                 2    81.82%           4                 2    50.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_dup.i                                                14                 8    42.86%           2                 1    50.00%          37                21    43.24%           8                 5    37.50%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_enum.i                                               68                68     0.00%           4                 4     0.00%          98                98     0.00%          46                46     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_i2d_fp.i                                             30                30     0.00%           4                 4     0.00%          72                72     0.00%          16                16     0.00%
SGX_APP/TaLoS/src/libressl-2.4.1/crypto/asn1/a_int.i                                               195               140    28.21%          11                 5    54.55%         292               199    31.85%         140               108    22.86%
