Filename,Regions,Missed,Regions,Cover,Functions,Missed,Functions,Executed,Lines,Missed,Lines,Cover,Branches,Missed,Branches,Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/test_app/enclave/tests/missing_funcs.c,4,2,50.00%,4,2,50.00%,14,7,50.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/test_app/enclave/tests/rsa_test.c,72,20,72.22%,5,1,80.00%,234,38,83.76%,44,19,56.82%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/test_app/enclave/tests/sha1test.c,14,2,85.71%,2,0,100.00%,47,8,82.98%,10,2,80.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/test_app/enclave/tests/sha256t.c,51,15,70.59%,1,0,100.00%,89,28,68.54%,22,8,63.64%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/test_app/enclave/tests/stdio_func.c,9,2,77.78%,3,1,66.67%,15,5,66.67%,2,1,50.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/Linux/sgx/test_app/enclave/tests/threadstest.c,92,24,73.91%,11,0,100.00%,128,35,72.66%,48,16,66.67%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/LPdir_unix.c,29,29,0.00%,2,2,0.00%,47,47,0.00%,22,22,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/aes/aes_cbc.c,4,4,0.00%,1,1,0.00%,8,8,0.00%,2,2,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/aes/aes_core.c,87,87,0.00%,4,4,0.00%,323,323,0.00%,36,36,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/aes/aes_wrap.c,2,2,0.00%,2,2,0.00%,7,7,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/aria/aria.c,463,463,0.00%,3,3,0.00%,225,225,0.00%,36,36,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_bitstr.c,145,102,29.66%,6,4,33.33%,152,96,36.84%,86,70,18.60%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_d2i_fp.c,118,118,0.00%,3,3,0.00%,143,143,0.00%,60,60,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_digest.c,36,36,0.00%,2,2,0.00%,34,34,0.00%,10,10,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_dup.c,27,27,0.00%,2,2,0.00%,37,37,0.00%,8,8,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_gentm.c,34,34,0.00%,6,6,0.00%,40,40,0.00%,18,18,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_i2d_fp.c,38,38,0.00%,2,2,0.00%,50,50,0.00%,14,14,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_int.c,345,296,14.20%,33,25,24.24%,403,322,20.10%,174,148,14.94%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_mbstr.c,225,225,0.00%,10,10,0.00%,239,239,0.00%,106,106,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_object.c,312,285,8.65%,9,7,22.22%,302,273,9.60%,160,148,7.50%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_octet.c,3,3,0.00%,3,3,0.00%,9,9,0.00%,0,0,-
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_print.c,76,76,0.00%,3,3,0.00%,72,72,0.00%,50,50,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_sign.c,169,169,0.00%,3,3,0.00%,169,169,0.00%,68,68,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_strex.c,356,356,0.00%,11,11,0.00%,400,400,0.00%,212,212,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_strnid.c,111,111,0.00%,11,11,0.00%,128,128,0.00%,54,54,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_time.c,358,358,0.00%,17,17,0.00%,367,367,0.00%,240,240,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_type.c,130,117,10.00%,6,5,16.67%,106,97,8.49%,96,92,4.17%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_utctm.c,54,54,0.00%,7,7,0.00%,55,55,0.00%,32,32,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_utf8.c,137,137,0.00%,2,2,0.00%,149,149,0.00%,100,100,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/a_verify.c,125,125,0.00%,2,2,0.00%,122,122,0.00%,50,50,0.00%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/ameth_lib.c,167,122,26.95%,28,22,21.43%,250,195,22.00%,84,65,22.62%
home/leone/Documents/linux-sgx/SGX_APP/intel-sgx-ssl/openssl_source/openssl/crypto/asn1/asn1_err.c,3,0,100.00%,1,0,100.00%,9,0,100.00%,2,1,50.00%
